Guinier analysis based radius of gyration computed from the scattering intensities in Angstroms: 15.350866 
Intensity at 0 q (I(0)) for the system: 539185.015137 
q_guinier 	 I(q)_guinier 
     0.00000000    539185.0151371000
     0.00050000    539174.4241340748
     0.00100000    539142.6527413392
     0.00150000    539089.7058094275
     0.00200000    539015.5914207668
     0.00250000    538920.3208876438
     0.00300000    538803.9087491614
     0.00350000    538666.3727671849
     0.00400000    538507.7339215389
     0.00450000    538328.0164042910
     0.00500000    538127.2476131145
